{124	50	0.10225	1.8883	1.7213	1.6	25	0.005}
{125	50	0.22	5.6781	1.5573	3.3643	25	0.028512}
{126	50	0.22	3.8049	1.5573	2.0397	25	0.028509}
{127	50	0.22	2.818	1.409	2.2544	25	0.028508}
{128	50	0.22	5.1373	1.5573	1.8455	25	0.028512}
{129	50	0.22	4.6481	0.94417	1.6697	25	0.028516}
{130	50	0.22	2.818	1.409	2.2544	25	0.028514}
{131	50	0.22	3.1147	2.1027	2.2544	25	0.028517}
{132	50	0.22	3.8049	1.5573	1.6	25	0.028505}
{133	50	0.15878	2.0871	1.0436	2.0871	25	0.040001}
{134	50	0.15871	3.1147	1.5573	1.7085	25	0.04}
{135	50	0.21649	1.8883	1.1534	2.0871	25	0.02259}
{136	50	0.22	2.0871	2.5687	2.0397	25	0.005}
{137	50	0.22	3.1147	1.2748	3.7185	25	0.005}
{138	50	0.22	3.4425	1.9024	2.4917	25	0.005}
{139	50	0.22	5.1373	1.2748	2.0397	25	0.005}
{140	50	0.22	2.818	0.85425	2.2544	25	0.005}
{141	50	0.22	3.1147	1.2748	2.754	25	0.005}
{142	50	0.22	3.4425	1.1534	2.3068	25	0.005}
{143	50	0.22	2.818	2.324	2.5496	25	0.005}
{144	50	0.21649	2.5496	2.1027	4.6481	25	0.02259}
{145	50	0.22	5.6781	1.5573	2.2544	25	0.0067209}
{146	50	0.22	4.2054	1.1534	4.1099	25	0.009479}
{147	50	0.22	3.4425	1.0436	1.6	25	0.0095259}
{148	50	0.22	2.5496	1.2748	2.2829	25	0.0095499}
{149	50	0.22	3.4425	1.0436	2.818	25	0.026054}
{150	50	0.12871	4.2054	2.1027	2.2544	25	0.026541}
{151	50	0.11947	2.0871	1.2748	2.2544	25	0.02651}
{152	50	0.12861	3.1147	1.1534	3.4425	25	0.026545}
{153	50	0.10843	2.5496	0.94417	4.2054	25	0.005}
{154	50	0.11126	2.3068	1.7213	1.8883	25	0.005}
{155	50	0.11313	2.5496	2.324	2.818	25	0.005}
{156	50	0.1128	2.818	2.8391	2.5496	25	0.005}
{157	50	0.1	2.0871	1.1534	3.8049	25	0.005}
{158	50	0.21649	2.818	1.1534	2.818	25	0.02259}
{159	50	0.18666	2.0871	2.324	1.6	25	0.016114}
{160	50	0.18728	5.1373	3.1379	1.8688	25	0.016128}
{161	50	0.1876	4.6481	1.409	1.6	25	0.016094}
{162	50	0.17063	3.4425	0.77289	1.6	25	0.026225}
{163	50	0.17115	2.818	2.5687	2.7888	25	0.026224}
{164	50	0.21649	2.3068	1.5573	2.3068	25	0.02259}
{165	50	0.22	2.3068	1.7213	1.6	25	0.005}
{166	50	0.22	3.4425	1.5573	2.2829	25	0.005}
{167	50	0.22	2.0871	1.1534	1.6908	25	0.005}
{168	50	0.22	3.1147	1.2748	1.6	25	0.005}
{169	50	0.22	2.3068	0.7	1.6	25	0.005}
{170	50	0.22	2.3068	1.5573	1.6908	25	0.005}
{171	50	0.21649	2.5496	2.324	3.1147	25	0.02259}
{172	50	0.22	2.5496	0.94417	1.6	25	0.005}
{173	50	0.22	3.1147	1.9024	1.6	25	0.021925}
{174	50	0.22	2.0871	0.85425	3.0824	25	0.023868}
{175	50	0.22	3.1147	1.409	1.8688	25	0.023868}
{176	50	0.22	2.0871	1.7213	2.0655	25	0.023865}
{177	50	0.22	2.5496	2.1027	2.7888	25	0.015166}
{178	50	0.22	2.5496	2.1027	1.6	25	0.015148}
{179	50	0.22	2.5496	0.94417	1.6	25	0.015156}
{180	50	0.22	2.0871	1.5573	1.6	25	0.00598}
{181	50	0.22	0.93718	0.94417	2.3068	25	0.010993}
{182	50	0.22	1.7085	1.9024	2.0397	25	0.0060146}
